2054;Tech Vikes
2056;OP Robotics
2059;The Hitchhikers
2062;CORE 2062
2064;The Panther Project
2067;Apple Pi
2068;Metal Jackets
2073;EagleForce
2075;Enigma Robotics
2077;Laser Robotics
2079;4H ALARM Robotics
2080;Torbotics
2083;Team Blitz
2084;Robots by the C
2095;Direct Current
2096;RoboActive
2102;Team Paradox
2106;The Junkyard Dogs
2122;Team Tators
2129;Ultraviolet
2130;Alpha+
2135;Presentation Invasion
2137;The Oxford RoboCats
2141;Spartronics
2143;Team Tobor
2145;HAZMATS
2147;CHUCK
2151;PMSA Monty Pythons
2152;S*M*A*S*H
2158;the ausTIN CANs
2161;Robocats
2165;BisonBots
2168;Aluminum Falcons
2169;KING TeC
2170;Galvanized Guardians
2171;RoboDogs
2172;Steel Unit-E
2175;The Fighting Calculators
2177;The Robettes
2180;Zero Gravity
2181;GEARS
2183;Tigerbots
2186;Dogs of Steel
2191;Flux Core
2194;Fondy Fire
2197;Las Pumas
2199;Robo-Lions
2200;BCR Blackout
2202;BEAST Robotics
2204;Rambots
2207;Bright Bears
2212;The Spikes
2220;Blue Twilight
2221;FHS Robodawgs
2224;RoboPhoenix
2225;Rebel Robotics
2227;Tigers
2228;CougarTech
2230;General Angels
2231;OnyxTronix
2234;Alternating Current
2239;Technocrats
2240;Brute Force
2252;The Mavericks
2259;1/4 Twenties
2261;Casa Robotics
2262;Robo-Panthers
2264;Trojan Robotics
2265;Fe Maidens
2283;Panteras
2288;Hydra Robotics
2290;FLYT
2333;Sapulpa Robotics Team
2337;EngiNERDs
2338;Gear It Forward
2340;Mercy Robotics-Xcentrics
2341;Sprockets
2342;Team Phoenix
2344;The Saunders Droid Factory
2345;Kearnage
2347;Trial and Error
2348;Mechahunes
2352;Metal Mayhem
2357;System Meltdown
2358;Bearbotics
2359;RoboLobos
2363;Triple Helix Robotics
2367;Lancer Robotics
2370;IBOTS
2373;The Crickets
2374;Jesuit Robotics
2375;Dragon Robotics
2377;C Company
2383;Ninjineers
2386;Trojans
2393;Robotichauns
2399;The Fighting Unicorns
2403;Plasma Robotics
2404;Team NEY Techs (TNT)
2405;Techno Trojans
2408;Shrapnel Sergeants
2410;Blue Valley CAPS Metal Mustangs
2412;Robototes
2415;WiredCats
2421;RTR Team Robotics
2423;The KwarQs
2429;The Blockheads
2438;'Iobotics
2441;Spartechs
2443;Blue Thunder
2445;RoboKAP
2450;Wind Chill
2457;The Law
2458;Team Chaos
2465;KauaiBots
2468;Team Appreciate
2470;Team BJORG
2471;Team Mean Machine
2472;Centurions
2473;Goldstrikers
2477;Marauder Rascals
2478;Westwood Robotics
2480;Iron Paws
2481;Roboteers
2485;Overclocked
2486;CocoNuts
2487;Mechanical Animals
2491;NoMythic
2495;Hive Mind
